"Day","Fajr Begins","Fajr Iqama","Sunrise","Zuhr Begins","Zuhr Iqama","Asr Begins","Asr Iqama","Sunset","Isha Begins","Isha Iqama","Isha  (Weekends)Iqama","Jumah 1 Iqama","Jumah 2 Iqama"
"1","5:35 AM","06:15 am","6:53 AM","12:29 PM","1:00 PM","4:19 PM","4:45 PM","6:05 PM","7:24 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"2","5:33 AM","06:00 am","6:52 AM","12:29 PM","1:00 PM","4:20 PM","5:00 PM","6:07 PM","7:25 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"3","5:31 AM","06:00 am","6:50 AM","12:29 PM","1:00 PM","4:22 PM","5:00 PM","6:08 PM","7:27 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"4","5:30 AM","06:00 am","6:48 AM","12:28 PM","1:00 PM","4:23 PM","5:00 PM","6:09 PM","7:28 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"5","5:28 AM","06:00 am","6:47 AM","12:28 PM","1:00 PM","4:24 PM","5:00 PM","6:10 PM","7:29 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"6","5:26 AM","06:00 am","6:45 AM","12:28 PM","1:00 PM","4:25 PM","5:00 PM","6:12 PM","7:30 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"7","5:25 AM","06:00 am","6:43 AM","12:28 PM","1:00 PM","4:26 PM","5:00 PM","6:13 PM","7:32 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"8","5:23 AM","06:00 am","6:41 AM","12:27 PM","1:00 PM","4:27 PM","5:00 PM","6:14 PM","7:33 PM","7:45 PM","7:45 PM","12:30 pm","1:45 PM"
"9","5:21 AM","06:00 am","6:40 AM","12:27 PM","1:00 PM","4:28 PM","5:00 PM","6:16 PM","7:34 PM","7:50 PM","7:45 PM","12:30 pm","1:30 pm"
"10","5:19 AM","06:00 am","6:38 AM","12:27 PM","1:00 PM","4:29 PM","5:00 PM","6:17 PM","7:36 PM","7:50 PM","7:45 PM","12:30 pm","1:30 pm"
"11","6:17 AM","06:30 am","7:36 AM","1:27 PM","2:00 PM","5:30 PM","6:15 PM","7:18 PM","8:37 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"12","6:16 AM","06:30 am","7:34 AM","1:26 PM","2:00 PM","5:31 PM","6:15 PM","7:19 PM","8:38 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"13","6:14 AM","06:30 am","7:32 AM","1:26 PM","2:00 PM","5:32 PM","6:15 PM","7:21 PM","8:39 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"14","6:12 AM","06:30 am","7:31 AM","1:26 PM","2:00 PM","5:33 PM","6:15 PM","7:22 PM","8:41 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"15","6:10 AM","06:30 am","7:29 AM","1:26 PM","2:00 PM","5:34 PM","6:15 PM","7:23 PM","8:42 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"16","6:08 AM","06:30 am","7:27 AM","1:25 PM","2:00 PM","5:35 PM","6:00 PM","7:24 PM","8:43 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"17","6:06 AM","06:30 am","7:25 AM","1:25 PM","2:00 PM","5:36 PM","6:00 PM","7:25 PM","8:45 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"18","6:04 AM","06:30 am","7:24 AM","1:25 PM","2:00 PM","5:37 PM","6:00 PM","7:27 PM","8:46 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"19","6:03 AM","06:30 am","7:22 AM","1:24 PM","2:00 PM","5:38 PM","6:00 PM","7:28 PM","8:47 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"20","6:01 AM","06:30 am","7:20 AM","1:24 PM","2:00 PM","5:39 PM","6:00 PM","7:29 PM","8:49 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"21","5:59 AM","06:30 am","7:18 AM","1:24 PM","2:00 PM","5:40 PM","6:00 PM","7:30 PM","8:50 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"22","5:57 AM","06:30 am","7:16 AM","1:24 PM","2:00 PM","5:41 PM","6:00 PM","7:32 PM","8:51 PM","9:00 PM","7:45 PM","1:30 pm","2:45 pm"
"23","5:55 AM","06:30 am","7:14 AM","1:23 PM","2:00 PM","5:42 PM","6:15 PM","7:33 PM","8:53 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"24","5:53 AM","06:30 am","7:13 AM","1:23 PM","2:00 PM","5:43 PM","6:15 PM","7:34 PM","8:54 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"25","5:51 AM","06:30 am","7:11 AM","1:23 PM","2:00 PM","5:43 PM","6:15 PM","7:35 PM","8:55 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"26","5:49 AM","06:30 am","7:09 AM","1:22 PM","2:00 PM","5:44 PM","6:15 PM","7:36 PM","8:57 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"27","5:47 AM","06:05 am","7:07 AM","1:22 PM","2:00 PM","5:45 PM","6:15 PM","7:38 PM","8:58 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"28","5:45 AM","06:05 am","7:05 AM","1:22 PM","2:00 PM","5:46 PM","6:15 PM","7:39 PM","8:59 PM","9:15 pm","7:45 PM","01:30 pm","2:45 pm"
"29","5:43 AM","05:55 am","7:04 AM","1:21 PM","2:00 PM","5:47 PM","6:15 PM","7:40 PM","9:01 PM","9:15 pm","9:20 pm","01:30 pm","2:45 pm"
"30","5:41 AM","05:55 am","7:02 AM","1:21 PM","2:00 PM","5:48 PM","6:30 PM","7:41 PM","9:02 PM","9:30 pm","9:20 pm","01:30 pm","2:45 pm"
"31","5:39 AM","05:55 am","7:00 AM","1:21 PM","2:00 PM","5:49 PM","6:30 PM","7:42 PM","9:04 PM","9:30 pm","9:20 pm","01:30 pm","2:45 pm"
